Generated by Fabric Compiler ( version 2022.1 <build 99559> ) at Fri Nov  8 20:59:15 2024
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_wrlvl.N136)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_wrlvl.N377)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_wrlvl.N386)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_wrlvl.N439)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.dqsi_rdel_cal.N607)  : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.dqsi_rdel_cal.N610)  : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_wrlvl.N136)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_wrlvl.N377)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_wrlvl.N386)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_wrlvl.N439)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.dqsi_rdel_cal.N607)  : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.dqsi_rdel_cal.N610)  : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.logic_ck_rstn), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.N1814)  : 8
  CLK(nt_sys_clk), CP(~nt_sys_rst_n), CE(N4588)          : 8
      CLK(nt_sys_clk), C(~nt_sys_rst_n), CE(N4588)       : 7
      CLK(nt_sys_clk), P(~nt_sys_rst_n), CE(N4588)       : 1
  CLK(nt_sys_clk), C(~nt_sys_rst_n), CE(N4638)     : 8
  CLK(nt_sys_clk), C(~nt_sys_rst_n), CE(uart_cache[0][8:0]_and)      : 8
  CLK(nt_sys_clk), C(~nt_sys_rst_n), CE(uart_cache[1][8:0]_and)      : 8
  CLK(nt_sys_clk), C(~nt_sys_rst_n), CE(uart_cache[2][8:0]_and)      : 8
  CLK(rgmii_clk_0), C(~nt_sys_rst_n), CE(udp_rec_top_inst.u_udp.u_udp_rx.N549)   : 8
  CLK(rgmii_clk_0), C(~nt_sys_rst_n), CE(udp_rec_top_inst.u_udp.u_udp_rx.N618)   : 8
  CLK(rgmii_clk_0), C(~nt_sys_rst_n), CE(udp_rec_top_inst.u_udp.u_udp_rx.N693)   : 8
  CLK(rgmii_clk_0), C(~nt_sys_rst_n), CE(udp_rec_top_inst.u_udp.u_udp_tx.N963)   : 8
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.u_udp.u_udp_tx.N963)  : 8
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.udp_inst.u_udp_rx_image.N607)     : 8
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.udp_inst.u_udp_rx_image.N662)     : 8
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.udp_inst.u_udp_rx_image.N752)     : 8
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.udp_inst.u_udp_rx_image.N786)     : 8
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.udp_inst.u_udp_rx_image.N818)     : 8
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.udp_inst.u_udp_rx_image.N837)     : 8
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.udp_inst.u_udp_rx_image.N856)     : 8
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.udp_inst.u_udp_tx_image._N99899)  : 8
  CLK(I_ipsxb_ddr_top.pll_clkin), CP(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_reset_ctrl.N219)         : 9
      CLK(I_ipsxb_ddr_top.pll_clkin), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_reset_ctrl.N219)      : 8
      CLK(I_ipsxb_ddr_top.pll_clkin), P(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_reset_ctrl.N219)      : 1
  CLK(ddr_ip_clk), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_read_ddr_fifo.rd_rst), CE(~user_axi_m_arbitration.user_rw_fifo_ctrl0.user_read_ddr_fifo.U_ipml_fifo_read_ddr_fifo.U_ipml_fifo_ctrl.wfull)  : 9
  CLK(ddr_ip_clk), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_read_ddr_fifo.rd_rst), CE(~user_axi_m_arbitration.user_rw_fifo_ctrl1.user_read_ddr_fifo.U_ipml_fifo_read_ddr_fifo.U_ipml_fifo_ctrl.wfull)  : 9
  CLK(ddr_ip_clk), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_read_ddr_fifo.rd_rst), CE(~user_axi_m_arbitration.user_rw_fifo_ctrl2.user_read_ddr_fifo.U_ipml_fifo_read_ddr_fifo.U_ipml_fifo_ctrl.wfull)  : 9
  CLK(ddr_ip_clk), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_read_ddr_fifo.rd_rst), CE(~user_axi_m_arbitration.user_rw_fifo_ctrl3.user_read_ddr_fifo.U_ipml_fifo_read_ddr_fifo.U_ipml_fifo_ctrl.wfull)  : 9
  CLK(ddr_ip_clk), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_write_ddr_fifo.rd_rst), CE(~user_axi_m_arbitration.user_rw_fifo_ctrl0.user_write_ddr_fifo.U_ipml_fifo_write_ddr_fifo.U_ipml_fifo_ctrl.rempty)    : 9
  CLK(ddr_ip_clk), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_write_ddr_fifo.rd_rst), CE(~user_axi_m_arbitration.user_rw_fifo_ctrl1.user_write_ddr_fifo.U_ipml_fifo_write_ddr_fifo.U_ipml_fifo_ctrl.rempty)    : 9
  CLK(ddr_ip_clk), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_write_ddr_fifo.rd_rst), CE(~user_axi_m_arbitration.user_rw_fifo_ctrl2.user_write_ddr_fifo.U_ipml_fifo_write_ddr_fifo.U_ipml_fifo_ctrl.rempty)    : 9
  CLK(ddr_ip_clk), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_write_ddr_fifo.rd_rst), CE(~user_axi_m_arbitration.user_rw_fifo_ctrl3.user_write_ddr_fifo.U_ipml_fifo_write_ddr_fifo.U_ipml_fifo_ctrl.rempty)    : 9
  CLK(nt_sys_clk), C(~nt_sys_rst_n), CE(fft_top_inst.u_fft_ctrl.N70)       : 9
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.dqsi_rdel_cal.N598)  : 10
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.dqsi_rdel_cal.N598)  : 10
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.dqsi_rdel_cal.N598)  : 10
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.dqsi_rdel_cal.N598)  : 10
  CLK(nt_da_clk), C(~nt_sys_rst_n), CE(fft_top_inst.asyn_fifo_inst.we)     : 11
  CLK(nt_sys_clk), C(~nt_sys_rst_n), CE(fft_top_inst.asyn_fifo_inst.N138)  : 11
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(eth0_img_pkt.N217)    : 11
  CLK(ddr_ip_clk), CP(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.dqsi_rdel_cal.N570)       : 12
      CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.dqsi_rdel_cal.N570)    : 11
      CLK(ddr_ip_clk), P(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.dqsi_rdel_cal.N570)    : 1
  CLK(ddr_ip_clk), CP(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.dqsi_rdel_cal.N570)       : 12
      CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.dqsi_rdel_cal.N570)    : 11
      CLK(ddr_ip_clk), P(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.dqsi_rdel_cal.N570)    : 1
  CLK(ddr_ip_clk), CP(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.dqsi_rdel_cal.N570)       : 12
      CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.dqsi_rdel_cal.N570)    : 11
      CLK(ddr_ip_clk), P(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.dqsi_rdel_cal.N570)    : 1
  CLK(ddr_ip_clk), CP(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.dqsi_rdel_cal.N570)       : 12
      CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.dqsi_rdel_cal.N570)    : 11
      CLK(ddr_ip_clk), P(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.dqsi_rdel_cal.N570)    : 1
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.gatecal_start)     : 12
  CLK(nt_pixclk_in), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_read_ddr_fifo.rd_rst), CE(~user_axi_m_arbitration.user_rw_fifo_ctrl0.user_read_ddr_fifo.U_ipml_fifo_read_ddr_fifo.U_ipml_fifo_ctrl.rempty)     : 12
  CLK(nt_pixclk_in), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_read_ddr_fifo.rd_rst), CE(~user_axi_m_arbitration.user_rw_fifo_ctrl1.user_read_ddr_fifo.U_ipml_fifo_read_ddr_fifo.U_ipml_fifo_ctrl.rempty)     : 12
  CLK(nt_pixclk_in), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_read_ddr_fifo.rd_rst), CE(~user_axi_m_arbitration.user_rw_fifo_ctrl2.user_read_ddr_fifo.U_ipml_fifo_read_ddr_fifo.U_ipml_fifo_ctrl.rempty)     : 12
  CLK(nt_pixclk_in), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_read_ddr_fifo.rd_rst), CE(~user_axi_m_arbitration.user_rw_fifo_ctrl3.user_read_ddr_fifo.U_ipml_fifo_read_ddr_fifo.U_ipml_fifo_ctrl.rempty)     : 12
  CLK(nt_pixclk_in), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_write_ddr_fifo.rd_rst), CE(~user_axi_m_arbitration.user_rw_fifo_ctrl0.user_write_ddr_fifo.U_ipml_fifo_write_ddr_fifo.U_ipml_fifo_ctrl.wfull)   : 12
  CLK(nt_pixclk_in), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_write_ddr_fifo.rd_rst), CE(~user_axi_m_arbitration.user_rw_fifo_ctrl1.user_write_ddr_fifo.U_ipml_fifo_write_ddr_fifo.U_ipml_fifo_ctrl.wfull)   : 12
  CLK(nt_pixclk_in), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_write_ddr_fifo.rd_rst), CE(~user_axi_m_arbitration.user_rw_fifo_ctrl2.user_write_ddr_fifo.U_ipml_fifo_write_ddr_fifo.U_ipml_fifo_ctrl.wfull)   : 12
  CLK(nt_pixclk_in), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_write_ddr_fifo.rd_rst), CE(~user_axi_m_arbitration.user_rw_fifo_ctrl3.user_write_ddr_fifo.U_ipml_fifo_write_ddr_fifo.U_ipml_fifo_ctrl.wfull)   : 12
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_bm.N172)  : 13
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(eth0_img_pkt.N148)    : 13
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_bm.N281)  : 14
  CLK(ddr_ip_clk), P(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dfi.N2049)     : 14
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_bm.N304)  : 15
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_bm.N317)  : 15
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_ui_axi.N254)   : 15
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_ui_axi.N258)   : 15
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_ui_axi.N262)   : 15
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_ui_axi.N266)   : 15
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_ui_axi.N270)   : 15
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_ui_axi.N274)   : 15
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_ui_axi.N278)   : 15
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_ui_axi.N282)   : 15
  CLK(ddr_ip_clk), CP(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_info.N308)       : 15
      CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_info.N308)    : 11
      CLK(ddr_ip_clk), P(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_info.N308)    : 4
  CLK(ddr_ip_clk), CP(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_info.N392)       : 15
      CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_info.N392)    : 13
      CLK(ddr_ip_clk), P(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_info.N392)    : 2
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_info.N476)  : 15
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_info.N560)  : 15
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_calib_top.ddrphy_init.N274)   : 16
  CLK(nt_pixclk_in), C(~nt_sys_rst_n), CE(eth0_img_pkt.N154)   : 16
  CLK(nt_pixclk_in), C(~nt_sys_rst_n), CE(eth0_img_pkt.N181)   : 16
  CLK(nt_sys_clk), C(~nt_sys_rst_n), CE(hdmi_test1_inst.fft_sop1)    : 16
  CLK(rgmii_clk_0), C(~nt_sys_rst_n), CE(udp_rec_top_inst.u_udp.u_udp_rx.N644)   : 16
  CLK(rgmii_clk_0), C(~nt_sys_rst_n), CE(udp_rec_top_inst.u_udp.u_udp_tx.N1021)  : 16
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.u_udp.u_udp_tx.N1021)       : 16
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.udp_inst.u_udp_rx_image.N689)     : 16
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.udp_inst.u_udp_tx_image.N1065)    : 16
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.udp_inst.u_udp_tx_image.N922)     : 16
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_sm.N461)  : 18
  CLK(ddr_ip_clk), CP(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_calib_top.rdcal.N685)        : 18
      CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_calib_top.rdcal.N685)     : 17
      CLK(ddr_ip_clk), P(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_calib_top.rdcal.N685)     : 1
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_calib_top.rdcal.N752)   : 18
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.udp_inst.u_udp_rx_image.N698)     : 18
  CLK(I_ipsxb_ddr_top.pll_clkin), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_reset_ctrl.ddrphy_pll_lock_debounce.N43)    : 19
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_ui_axi.mcdq_reg_fifo2.N10)       : 20
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_ui_axi.mcdq_reg_fifo2.N14)       : 20
  CLK(rgmii_clk_0), C(~nt_sys_rst_n), CE(udp_rec_top_inst.u_udp.u_udp_tx.N888)   : 20
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.u_udp.u_udp_tx.N888)  : 20
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.udp_inst.u_udp_tx_image.N914)     : 20
  CLK(rgmii_clk_0), C(~nt_sys_rst_n), CE(udp_rec_top_inst.u_udp.u_udp_rx.N584)   : 24
  CLK(rgmii_clk_0), C(~nt_sys_rst_n), CE(udp_rec_top_inst.u_udp.u_udp_rx.N653)   : 24
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.udp_inst.u_udp_rx_image.N635)     : 24
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.dqsi_rdel_cal.N456)  : 26
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_ui_axi.N228)   : 27
  CLK(nt_sys_clk), C(~nt_sys_rst_n), CE(nt_uart_led)     : 31
  CLK(nt_pixclk_in), CP(~nt_sys_rst_n), CE(eth0_img_pkt.N195)        : 32
      CLK(nt_pixclk_in), C(~nt_sys_rst_n), CE(eth0_img_pkt.N195)     : 31
      CLK(nt_pixclk_in), P(~nt_sys_rst_n), CE(eth0_img_pkt.N195)     : 1
  CLK(rgmii_clk_0), P(~nt_sys_rst_n), CE(udp_rec_top_inst.u_udp.u_crc32_d8.N263)       : 32
  CLK(rgmii_clk_1), P(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.u_udp.u_crc32_d8.N263)      : 32
  CLK(rgmii_clk_1), P(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.udp_inst.u_crc32_d8.N263)   : 32
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_buf.A_ipsxb_distributed_fifo.rd_en)     : 35
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_buf.B_ipsxb_distributed_fifo.rd_en)     : 35
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.ctrl_back_rdy)     : 36
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_back_ctrl.N104)       : 36
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_buf.N197)       : 36
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_ui_axi.u_user_cmd_fifo.N10)      : 44
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_ui_axi.u_user_cmd_fifo.N14)      : 44
  CLK(rgmii_clk_0), C(~nt_sys_rst_n), CE(udp_rec_top_inst.u_udp.u_udp_rx.N535)   : 48
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.udp_inst.u_udp_rx_image.N593)     : 48
  CLK(nt_sys_clk), S(GND)                          : 2
  CLK(pix_clk), R(~nt_rstn_out)                    : 2
  CLK(pix_clk), R(~hdmi_test1_inst.de)             : 3
  CLK(cfg_clk), S(GND)                             : 4
  CLK(ddr_ip_clk), S(GND)                          : 4
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.u_axi_full_m0.N214)      : 4
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.u_axi_full_m1.N214)      : 4
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.u_axi_full_m2.N214)      : 4
  CLK(ddr_ip_clk), R(user_axi_m_arbitration.u_axi_full_m3.N214)      : 4
